epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.944,0.99729,2.33757,1.1263,0.93934,0.77429,0.90515,0.64274,0.96634,2.79722,1.16743,0.000659574,0.000659574,0.000659574
2,515.024,1.07648,1.6817,1.14002,0.73557,0.80909,0.73549,0.50335,1.00468,2.2574,1.28822,0.00129998,0.00129998,0.00129998
3,780.913,1.13515,1.43516,1.18781,0.81112,0.87838,0.83078,0.60334,0.95091,1.51387,1.20145,0.00191399,0.00191399,0.00191399
4,1037.62,1.1274,1.27115,1.16817,0.91523,0.88334,0.92857,0.6875,0.94726,1.30402,1.21458,0.0018812,0.0018812,0.0018812
5,1293.09,1.09538,1.1154,1.14375,0.90157,0.87273,0.92905,0.69307,0.93408,1.01882,1.22873,0.0018416,0.0018416,0.0018416
6,1548.11,1.03325,1.01424,1.14099,0.92692,0.86484,0.95552,0.7282,0.88334,0.8537,1.18506,0.001802,0.001802,0.001802
7,1799.87,1.03431,0.94591,1.11933,0.93103,0.93636,0.96777,0.74906,0.79277,0.78021,1.14107,0.0017624,0.0017624,0.0017624
8,2052.72,0.96648,0.85305,1.09916,0.98076,0.92687,0.98021,0.75448,0.82134,0.69768,1.13585,0.0017228,0.0017228,0.0017228
9,2305.22,0.95501,0.84733,1.09184,0.93257,0.90455,0.95065,0.72534,0.85089,0.74172,1.12517,0.0016832,0.0016832,0.0016832
10,2556.94,1.01238,0.83732,1.09954,0.92797,0.93701,0.96683,0.75364,0.81779,0.70847,1.0989,0.0016436,0.0016436,0.0016436
11,2785.79,0.93286,0.79858,1.09351,0.88619,0.92027,0.95899,0.75687,0.76217,0.8045,1.0807,0.001604,0.001604,0.001604
12,3031.57,0.88076,0.73883,1.07025,0.9318,0.89545,0.96062,0.76279,0.75489,0.65774,1.07406,0.0015644,0.0015644,0.0015644
13,3275.45,0.86101,0.7508,1.05394,0.94305,0.90909,0.97639,0.79151,0.73454,0.65557,1.07364,0.0015248,0.0015248,0.0015248
14,3520.39,0.87622,0.72178,1.04378,0.95928,0.92727,0.97421,0.80727,0.69561,0.56604,1.05391,0.0014852,0.0014852,0.0014852
15,3764.71,0.86436,0.72307,1.0624,0.95541,0.94545,0.98072,0.79082,0.73773,0.6171,1.05384,0.0014456,0.0014456,0.0014456
16,4008.86,0.84119,0.67388,1.00944,0.92826,0.941,0.97032,0.79394,0.72487,0.56764,1.05885,0.001406,0.001406,0.001406
17,4252.42,0.84549,0.68717,1.02106,0.95864,0.93636,0.97857,0.80793,0.69335,0.54889,1.04159,0.0013664,0.0013664,0.0013664
18,4496.47,0.81208,0.649,1.0216,0.95085,0.96722,0.98943,0.82113,0.66979,0.4867,1.02089,0.0013268,0.0013268,0.0013268
19,4740.23,0.80985,0.62555,1.01854,0.94237,0.9663,0.9637,0.79657,0.6594,0.53576,1.01804,0.0012872,0.0012872,0.0012872
20,4983.63,0.81585,0.66581,1.00833,0.94471,0.95455,0.98115,0.79375,0.71351,0.53552,1.04085,0.0012476,0.0012476,0.0012476
21,5227.68,0.8017,0.64606,1.02179,0.97722,0.97491,0.98356,0.83335,0.65231,0.5054,1.03031,0.001208,0.001208,0.001208
22,5473.84,0.81841,0.64945,1.03744,0.93132,0.93636,0.97029,0.78952,0.67874,0.57993,1.03894,0.0011684,0.0011684,0.0011684
23,5749.35,0.7885,0.63601,1.00537,0.97177,0.93897,0.97903,0.80553,0.69713,0.50827,1.03958,0.0011288,0.0011288,0.0011288
24,5994,0.77239,0.59016,1.00883,0.9594,0.96666,0.98001,0.83367,0.64413,0.46533,1.01271,0.0010892,0.0010892,0.0010892
25,6238.89,0.75133,0.58056,0.99888,0.95952,0.96972,0.98489,0.83307,0.63507,0.46266,1.00329,0.0010496,0.0010496,0.0010496
26,6485.45,0.7546,0.55117,0.99776,0.96399,0.97335,0.98062,0.83449,0.62835,0.44842,1.00031,0.00101,0.00101,0.00101
27,6730.74,0.75747,0.55431,0.98583,0.95699,0.96364,0.98126,0.83732,0.60855,0.47029,0.99869,0.0009704,0.0009704,0.0009704
28,6975.71,0.75324,0.55746,0.98909,0.95957,0.97085,0.98098,0.83632,0.61312,0.43908,0.99391,0.0009308,0.0009308,0.0009308
29,7212.32,0.72541,0.5338,0.97568,0.97424,0.94091,0.98588,0.84479,0.62973,0.4504,0.99614,0.0008912,0.0008912,0.0008912
30,7438.77,0.71783,0.54477,0.98621,0.94853,0.97273,0.97974,0.84342,0.58324,0.44049,0.9681,0.0008516,0.0008516,0.0008516
31,7666.07,0.70279,0.53192,0.96804,0.94963,0.97273,0.98793,0.83946,0.60274,0.43494,0.97719,0.000812,0.000812,0.000812
